File: testdata6.txt
Lines: 808, Words: 5038, Characters: 36823
Word Frequencies:
| Word | Count | Relative Frequency |
| iniūria | 1 | 0.02% |
| fōrmae | 1 | 0.02% |
| invīsum | 1 | 0.02% |
| raptī | 1 | 0.02% |
| ganymēdis | 1 | 0.02% |
| honōrēs | 1 | 0.02% |
| hīs | 1 | 0.02% |
| accēnsa | 1 | 0.02% |
| iactātōs | 1 | 0.02% |
| tōtō | 1 | 0.02% |
| trōas | 1 | 0.02% |
| rēliquiās | 1 | 0.02% |
| immītis | 1 | 0.02% |
| achillī | 1 | 0.02% |
| 30 | 1 | 0.02% |
| arcēbat | 1 | 0.02% |
| multōsque | 1 | 0.02% |
| annōs | 1 | 0.02% |
| errābant | 1 | 0.02% |
| āctī | 1 | 0.02% |
| fātīs | 1 | 0.02% |
| tantae | 1 | 0.02% |
| mōlis | 1 | 0.02% |
| rōmānam | 1 | 0.02% |
| siculae | 1 | 0.02% |
| vela | 1 | 0.02% |
| dabant | 1 | 0.02% |
| spumas | 1 | 0.02% |
| salis | 1 | 0.02% |
| ruebant | 1 | 0.02% |
| 35 | 1 | 0.02% |
| aeternum | 1 | 0.02% |
| servans | 1 | 0.02% |
| volnus | 1 | 0.02% |
| incepto | 1 | 0.02% |
| desistere | 1 | 0.02% |
| victam | 1 | 0.02% |
| posse | 1 | 0.02% |
| avertere | 1 | 0.02% |
| vetor | 1 | 0.02% |
| pallasne | 1 | 0.02% |
| exurere | 1 | 0.02% |
| argivom | 1 | 0.02% |
| submergere | 1 | 0.02% |
| 40 | 1 | 0.02% |
| noxam | 1 | 0.02% |
| furias | 1 | 0.02% |
| aiacis | 1 | 0.02% |
| oilei | 1 | 0.02% |
| iaculata | 1 | 0.02% |
| nubibus | 1 | 0.02% |
| disiecitque | 1 | 0.02% |
| rates | 1 | 0.02% |
| evertitque | 1 | 0.02% |
| expirantem | 1 | 0.02% |
| transfixo | 1 | 0.02% |
| flammas | 1 | 0.02% |
| scopuloque | 1 | 0.02% |
| infixit | 1 | 0.02% |
